PROJECTID,NAME,ADDRESS,CITY,STATE,ZIP,MSA,LATITUDE,LONGITUDE,MANAGEMENTCOMPANY,SUBMARKET,QUANTITY,AREAPERUNIT,LEVEL,YEARBUILT,MRG_CLASS,AXIOSUBMNEM,OCCUPANCY_PERCENTAGE,MARKET
38371,Bell Watertown,200 Waltham St,Watertown,MA,2472,"Boston-Cambridge-Newton, MA-NH",42.370738983,-71.20916748,Bell Partners,BOS_SM19,139,1006.570007324,4,2014,A,BOS_SM19,0.984,BOS
7691,Brook Village East,319 E Main St # A8,Marlborough,MA,1752,"Boston-Cambridge-Newton, MA-NH",42.352046967,-71.5319519,Campus Apartments,BOS_SM10,224,937.5,2,1968,BC,BOS_SM10,0.983,BOS
42878,Lodge at Foxborough,400 Foxboro Blvd,Foxborough,MA,2035,"Boston-Cambridge-Newton, MA-NH",42.047031403,-71.23761749,"UDR, Inc",BOS_SM6,250,1047.979980469,3,2009,A,BOS_SM6,0.982,BOS
21643,Heritage at Bedford Springs,100 Thompson Farm,Bedford,MA,1730,"Boston-Cambridge-Newton, MA-NH",42.510604858,-71.23780823,"The Dolben Company, Inc.",BOS_SM12,125,1095.829956055,4,2006,A,BOS_SM12,0.981,BOS
42251,Metro at Wilmington Station,10 Burlington Ave,Wilmington,MA,1887,"Boston-Cambridge-Newton, MA-NH",42.546451569,-71.17357635,"The Dolben Company, Inc.",BOS_SM12,78,1080.969970703,3,2013,A,BOS_SM12,0.981,BOS
319,The Commons at Haynes Farm,100 Arbor Dr,Shrewsbury,MA,1545,"Worcester, MA-CT",42.281475067,-71.68677521,Lighthouse Property Management,BOS_SM10,302,879.700012207,3,1991,BC,BOS_SM10,0.98,BOS
10025,Bell Marlborough,20 Applebriar Ln,Marlborough,MA,1752,"Boston-Cambridge-Newton, MA-NH",42.336219788,-71.59767151,Bell Partners,BOS_SM10,164,1007.380004883,3,1989,A,BOS_SM10,0.98,BOS
13150,Gardencrest Apartments,20 Middlesex Cir,Waltham,MA,2452,"Boston-Cambridge-Newton, MA-NH",42.380264282,-71.22432709,Harbor Group Management,BOS_SM19,695,989.940002441,3,1948,BC,BOS_SM19,0.98,BOS
13780,The Townhomes of Beverly,201 Broughton Dr,Beverly,MA,1915,"Boston-Cambridge-Newton, MA-NH",42.571678162,-70.87354279,Lincoln Property Company,BOS_SM9,204,796.469970703,2,1972,A,BOS_SM9,0.98,BOS
13892,The Highlands At Faxon Woods,2001 Falls Blvd,Quincy,MA,2169,"Boston-Cambridge-Newton, MA-NH",42.236595154,-70.99202728,Northland Investment Corporation,BOS_SM13,196,923.640014648,4,2001,BC,BOS_SM13,0.98,BOS
