SNO,AC_LATITUDE,AC_LONGITUDE,AC_COMPID,AC_MANAGEMENTCOMPANY,AC_PROJID,AC_NAME,AC_ADDRESS,AC_CITY,AC_STATE,AC_ZIP,AC_YEARBUIT,AC_QUANTITY,AC_AREAPERUNIT,AC_LEVEL,AC_PROJID,AC_NAME,AC_QUANTITY,AC_AREAPERUNIT,AC_YEARBUILT,MRG_CLASS,AXIOSUBMNEM,FILENAME
  373,47.317394257,-122.397064209,Private Owner,ConAm,459,The Park at Dash Point,31736 50th Ln SW,Federal Way,WA,98023,1989,280,939.950012207,3,459,The Park at Dash Point,280,939.95,1989,A,SEA_SM11,TALEND
  374,33.983646393,-117.750839233,"Essex Property Trust, Inc.","Essex Property Trust, Inc.",460,The Summit,2400 Ridgeview Dr,Chino Hills,CA,91709,1990,125,787.359985352,2,460,The Summit,125,787.36,1990,A,LAC_SM35,TALEND
  375,47.817352295,-122.207550049,"Essex Property Trust, Inc.","Essex Property Trust, Inc.",461,Bothell Ridge,19928 Bothell Everett Hwy,Bothell,WA,98012,1988,214,798.659973145,3,461,Bothell Ridge,214,798.66,1988,BC,SEA_SM19,TALEND
  376,37.587924957,-122.017883301,"Essex Property Trust, Inc.","Essex Property Trust, Inc.",462,Verandas,33 Union Sq,Union City,CA,94587,1989,282,706.210021973,3,462,Verandas,282,706.21,1989,A,OAK_SM14,TALEND
  377,33.745094299,-117.925697327,"Essex Property Trust, Inc.","Essex Property Trust, Inc.",463,Parkside Court,4200 W 1st St,Santa Ana,CA,92703,1986,210,725.710021973,2,463,Parkside Court,210,725.71,1986,A,ORC_SM21,TALEND
  378,33.921203613,-117.960388184,"Essex Property Trust, Inc.","Essex Property Trust, Inc.",464,Village Green,901 S Idaho St,La Habra,CA,90631,1971,272,646.179992676,2,464,Village Green,272,646.18,1971,BC,ORC_SM9,TALEND
  379,34.050422668,-117.300765991,The Blackstone Group,ConAm,467,Alvista Terrace,1699 E Washington St,Colton,CA,92324,1985,366,841.849975586,3,467,Alvista Terrace,366,841.85,1985,A,LAC_SM36,TALEND
  380,39.477012634,-76.250366211,TruAmerica Multifamily,"JMG Realty, Inc.",468,Arborview at Riverside and Liriope I,1300 Liriope Ct,Belcamp,MD,21017,1991,288,992.760009766,3,468,Arborview at Riverside and Liriope I,288,992.76,1991,A,BAL_SM11,TALEND
  385,39.039535522,-76.995361328,Hampshire Properties,ROSS Management Services,473,The Enclave,11225 Oak Leaf Dr,Silver Spring,MD,20901,1969,1119,967.390014648,20,473,The Enclave,1119,967.39,1969,A,SMD_SM19,TALEND
  387,39.494983673,-76.330886841,"UDR, Inc","UDR, Inc",477,Calvert`s Walk,200 Foxhall Dr,Bel Air,MD,21015,1988,276,896,3,477,Calvert`s Walk,276,896.00,1988,A,BAL_SM11,TALEND
  388,39.329208374,-76.762634277,Morgan Properties,Morgan Properties,479,"Crosswinds at Rolling Road I, II",2531 Sarrington Cir,Baltimore,MD,21244,1984,808,1001.030029297,2,479,The Townhomes at Diamond Ridge,808,1001.03,1984,BC,BAL_SM3,TALEND
  391,39.321136475,-76.706802368,Atlantic Realty Partners,Atlantic Realty Partners,483,Fairway Ridge,5000 W Forest Park,Baltimore,MD,21207,1966,274,1015.460021973,2,483,Fairway Ridge,274,1015.46,1966,BC,BAL_SM22,TALEND
  393,39.114898682,-76.630195618,Quest Management Group,Quest Management Group,485,The Pointe at Harper`s Mill I,600 Harpers Mill Rd,Millersville,MD,21108,1979,144,996.75,2,485,The Pointe at Harper`s Mill I,144,996.75,1979,A,BAL_SM10,TALEND
  394,39.322948456,-76.760406494,Morgan Properties,Morgan Properties,487,The Glens at Diamond Ridge,2340 Noonham Rd,Baltimore,MD,21244,1961,270,1027.869995117,2,487,The Glens at Diamond Ridge,270,1027.87,1961,A,BAL_SM3,TALEND
  395,39.200153351,-76.626022339,Sage Property Management,Sage Property Management,488,The Towns at Heritage Hill III,6533 Cedar Furnace Cir,Glen Burnie,MD,21061,1982,120,952,2,488,The Towns at Heritage Hill III,120,952.00,1982,A,BAL_SM10,TALEND
  404,39.283229828,-76.708335876,"Atlantic Realty Management, Inc.","Atlantic Realty Management, Inc.",498,Jamestowne,5364 Jamestowne Ct,Baltimore,MD,21229,1962,335,947.020019531,2,498,Jamestowne,335,947.02,1962,BC,BAL_SM22,TALEND
  415,39.325439453,-76.759918213,Morgan Properties,Morgan Properties,514,Apartments at Diamond Ridge,2420 Bibury Ln,Baltimore,MD,21244,1995,280,1063.829956055,4,514,Apartments at Diamond Ridge,280,1063.83,1995,A,BAL_SM3,TALEND
